St.no;YEAR;MONTH;DAY;Time;DirectionDeg;Speedmps;TempC;Pptmm;Humidpercen;Snowdepthcm
18700;2015;2;1;1;7;5.8;-1;0;75; 
18700;2015;2;1;2;6;6.2;-1.3;0;77; 
18700;2015;2;1;3;12;6.5;-1.5;0.1;79; 
18700;2015;2;1;4;7;5.9;-1.5;0;76; 
18700;2015;2;1;5;5;6.3;-1.7;0;77; 
18700;2015;2;1;6;9;5.8;-1.6;0;74; 
18700;2015;2;1;7;5;6.5;-1.7;0;74;23
18700;2015;2;1;8;9;6.5;-2;0;78; 
18700;2015;2;1;9;10;6.3;-1.9;0.1;75; 
18700;2015;2;1;10;12;5.6;-1.8;0;73; 
18700;2015;2;1;11;12;5.9;-1.8;0;73; 
18700;2015;2;1;12;12;4.6;-2;0.1;77; 
18700;2015;2;1;13;13;3.5;-2.1;0.1;78; 
18700;2015;2;1;14;16;4.5;-2.1;0.1;77; 
18700;2015;2;1;15;16;4;-2.2;0;77; 
18700;2015;2;1;16;18;3.7;-2.2;0;75; 
18700;2015;2;1;17;12;3.7;-2.5;0;75; 
18700;2015;2;1;18;9;3;-2.5;0;75; 
18700;2015;2;1;19;15;2.9;-2.4;0;78; 
18700;2015;2;1;20;22;3.7;-2.2;0;75; 
18700;2015;2;1;21;17;3.7;-2.2;0;74; 
18700;2015;2;1;22;14;2.4;-2.4;0;77; 
18700;2015;2;1;23;13;2;-2.4;0;74; 
18700;2015;2;1;24;7;1.8;-2.6;0;73; 
18700;2015;2;2;1;356;2.5;-2.7;0;72; 
18700;2015;2;2;2;4;1.9;-2.8;0;74; 
18700;2015;2;2;3;13;2.9;-2.8;0;75; 
18700;2015;2;2;4;3;2.5;-2.8;0;76; 
18700;2015;2;2;5;347;2.3;-3;0;77; 
18700;2015;2;2;6;359;2.6;-3.3;0;79; 
18700;2015;2;2;7;39;2.3;-3.7;0;84;22
18700;2015;2;2;8;34;1.8;-3.5;0;85; 
18700;2015;2;2;9;30;1.7;-3.5;0;86; 
18700;2015;2;2;10;35;2.6;-3.2;0.1;85; 
18700;2015;2;2;11;26;2.4;-3.1;0;83; 
18700;2015;2;2;12;33;2.6;-3.1;0.1;82; 
18700;2015;2;2;13;17;3.9;-3;0.1;81; 
18700;2015;2;2;14;25;4.1;-3.1;0.1;82; 
18700;2015;2;2;15;20;3;-3.2;0.1;82; 
18700;2015;2;2;16;29;4.5;-3.3;0;77; 
18700;2015;2;2;17;29;4.2;-3.4;0;77; 
18700;2015;2;2;18;37;1.4;-3.5;0;78; 
18700;2015;2;2;19;31;1.5;-3.4;0;77; 
18700;2015;2;2;20;6;2.8;-3.3;0;76; 
