SENSOR_ID,SENSOR_NAVN,LATITUDE,LONGITUDE,STREKNING_NAVN,FORMAT,SENSOR_STATUS,SENSOR_TYPE,OPPLOSNING
300022,Klemetsrud,6639461.0,267073.16,EV6 HP 1 Meter 1191,Datainn,Ute av drift,Bil,Enkeltkjøret
300025,Granfoss NORD,6651245.5,257096.33,RV150 HP 1 Meter 12178,Nortraf,Ute av drift,Bil,15 minutter
300026,Påkj granfoss Nord,6651222.5,257081.31,RV150 HP 92 Meter 21222,Nortraf,Ute av drift,Bil,15 minutter
300027,Avkj Granfoss nord,6651241.5,257070.92,RV150 HP 92 Meter 12020,Nortraf,Ute av drift,Bil,15 minutter
300038,VESTBANEKRYSSET,6649293.5,261140.28,EV18 HP 94 Meter 14680,Nortraf,Ute av drift,Bil,15 minutter
300049,PÅKJ. TIL RV 4,6652460.5,266129.30,RV4 HP 82 Meter 23150,Datainn,OK,Bil,Enkeltkjøret
300051,AVKJ. FRA RV 4,6652477.5,266088.28,RV4 HP 82 Meter 32075,Datainn,OK,Bil,Enkeltkjøret
300055,Bjerke,6652475.0,266134.80,RV4 HP 3 Meter 3146,Datainn,OK,Bil,Enkeltkjøret
300058,PÅKJ FRA JERIKOVEIEN,6651481.5,270193.16,EV6 HP 90 Meter 21270,Nortraf,Ute av drift,Bil,15 minutter
300059,AVKJ TIL JERIKOVEI,6651435.0,270204.00,EV6 HP 90 Meter 12320,Nortraf,Ute av drift,Bil,15 minutter
300060,E6 JERIKOVEIEN,6651461.0,270195.06,EV6 HP 2 Meter 3217,Nortraf,Ute av drift,Bil,15 minutter
300075,MUNKEDAMSVEIEN,6649300.5,261105.72,RV162 HP 1 Meter 4225,Nortraf,Ute av drift,Bil,15 minutter
300079,TEISEN 2002,6649780.0,266222.34,EV6 HP 51 Meter 1158,Nortraf,Ute av drift,Bil,15 minutter
300085,ØKERN V/ALCATEL,6650798.5,266149.88,RV163 HP 1 Meter 1100,Nortraf,Ute av drift,Bil,15 minutter
300093,Gaustad,6653196.0,260512.61,RV150 HP 1 Meter 8145,Datainn,OK,Bil,Enkeltkjøret
300094,RV159 V/KARIHAUGEN,6651644.5,272481.30,RV159 HP 1 Meter 289,Nortraf,ute av drift,Bil,15 minutter
300100,Økerntunellen mot Sentrum Datter,6650979.5,265508.62,RV163 HP 1 Meter 20200,Datainn,OK,Bil,Enkeltkjøret
300107,Kong Håkon 5.s gt Nordgående,6648519.0,263025.16,RV162 HP 1 Meter 870,Datainn,OK,Bil,Enkeltkjøret
300108,Kong Håkon 5.s gt Sydgående,6648524.0,263012.16,RV162 HP 1 Meter 10110,Datainn,OK,Bil,Enkeltkjøret
300109,Økerntunellen mot Grorud Datter,6650969.0,265512.72,RV163 HP 1 Meter 425,Datainn,OK,Bil,Enkeltkjøret
300139,Dr. Eufemias Gt. Vestgående Datter,6648860.0,262658.94,EV18 HP 50 Meter 10470,Datainn,OK,Bil,Enkeltkjøret
300140,Dr. Eufemias Gt. Østgående Datter,6648843.0,262648.53,EV18 HP 50 Meter 552,Datainn,OK,Bil,Enkeltkjøret
300155,Rv 150 Økern,6650576.0,265546.44,RV150 HP 1 Meter 745,Datainn,OK,Bil,Enkeltkjøret
300156,E6 Ulven,6650257.5,265979.84,EV6 HP 1 Meter 13130,Datainn,OK,Bil,Enkeltkjøret
300166,Rv 150 Ulvensplitten,6650212.0,265718.20,RV150 HP 1 Meter 330,Datainn,OK,Bil,Enkeltkjøret
300167,Rv 4 Bjerke Total,6652524.5,266280.62,RV4 HP 3 Meter 3300,Datainn,OK,Bil,Enkeltkjøret
300224,E18-FROGNERSTR V/SK,6649740.5,259565.25,EV18 HP 2 Meter 4481,Datainn,OK,Bil,Enkeltkjøret
300318,MORTENSRUD,6641760.0,266811.88,EV6 HP 1 Meter 3525,Nortraf,Ute av drift,Bil,15 minutter
300320,TR.HEIMSVN V/AKERSY,6652272.0,265288.38,RV4 HP 3 Meter 2275,Nortraf,Ute av drift,Bil,15 minutter
300348,E18-MOSSEV V/FISKEV,6641336.5,263418.80,EV18 HP 1 Meter 1800,Datainn,OK,Bil,Enkeltkjøret
300349,E6 V/KARIHAUGEN,6651711.0,272890.53,EV6 HP 2 Meter 6011,Nortraf,Ute av drift,Bil,15 minutter
302137,VATERLANDTUNNELEN,6649395.0,262611.78,RV162 HP 1 Meter 2099,Nortraf,Ute av drift,Bil,15 minutter
303026,GRANFOSSTUNNELEN,6650387.0,255783.00,RV150 HP 1 Meter 13871,Nortraf,Ute av drift,Bil,15 minutter
300001,E6 Manglerud,6647796.0,266146.88,EV6 HP 1 Meter 10300,Datainn,OK,Bil,Enkeltkjøret
300016,R3 Grefsen,6652392.0,264383.80,RV150 HP 1 Meter 3097,Datainn,OK,Bil,Enkeltkjøret
300029,E18 Bjørvikatunnelen,6648952.0,261653.36,EV18 HP 2 Meter 1950,Nortraf,Ute av drift,Bil,15 minutter
300030,E6 Helsfyr,6649045.0,265020.30,EV6 HP 51 Meter 2578,Datainn,OK,Bil,Enkeltkjøret
300039,E6 Skullerud,6643481.5,266588.34,EV6 HP 1 Meter 5272,Datainn,OK,Bil,Enkeltkjøret
300047,R1 Pilestredet,6649795.0,261917.06,RV162 HP 1 Meter 2998,Datainn,OK,Bil,Enkeltkjøret
300072,R3 Smestadtunnelen (Smestad Ø),6652591.5,259362.66,RV150 HP 1 Meter 9520,Datainn,Ute av drift,Bil,Enkeltkjøret
300074,RS Ullevål sykkel,6653556.0,261771.27,RV150 HP 1 Meter 6766,Datainn,OK,Sykkel,Enkeltkjøret
300076,RS Aker sykehus sykkel,6652306.0,265408.90,RV4 HP 3 Meter 2400,Datainn,OK,Sykkel,Enkeltkjøret
300077,RS Frognerstanda sykkel,6649469.0,259745.50,EV18 HP 2 Meter 4155,Datainn,OK,Sykkel,Enkeltkjøret
300083,R3 Smestad brannstasjon (Smestad V),6651930.5,258283.16,RV150 HP 1 Meter 10791,Datainn,OK,Bil,Enkeltkjøret
300086,Rv 163 Grorud stasjon,6653164.0,270359.88,RV163 HP 1 Meter 6110,Nortraf,ute av drift,Bil,15 minutter
300096,E18 Mastemyr,6639803.0,263369.03,EV18 HP 1 Meter 200,Datainn,OK,Bil,Enkeltkjøret
300097,Rv 163 Østre Akerv./Bygr.,6652581.5,273688.56,RV163 HP 1 Meter 9761,Datainn,OK,Bil,Enkeltkjøret
300098,E6 Svartdalstunnelen,6647606.5,265287.90,EV6 HP 50 Meter 500,Nortraf,OK,Bil,15 minutter
300099,R3 Tåsentunnelen,6653785.0,262745.53,RV150 HP 1 Meter 5740,Datainn,OK,Bil,Enkeltkjøret
300141,E18 Kongshavn,6647329.0,262733.28,EV18 HP 1 Meter 8285,Datainn,OK,Bil,Enkeltkjøret
